Index,Spanish,English,Rating,Major,Minor,Gender,Quantity
1,como,as,4,6,,,
2,yo,I,4,1,1,3,1
3,su,his,4,1,2,1,1
4,que,that,4,1,6,,
5,él,he,4,1,1,1,1
6,era,was,4,2,2,,
7,para,for,4,6,,,
8,en,on,4,6,,,
9,son,are,4,2,2,,
10,con,with,4,6,,,
11,ellos,they,4,1,1,1,2
12,ser,be,4,2,2,,
13,en,at,4,6,,,
14,uno,one,4,4,4,,
15,tener,have,4,2,2,,
16,este,this,4,1,2,1,1
17,desde,from,4,6,,,
18,por,by,4,6,,,
19,caliente,hot,4,4,3,,
20,palabra,word,4,3,8,2,1
21,pero,but,4,6,,,
22,qué,what,4,6,,,
23,algunos,some,4,3,10,1,2
24,es,is,4,2,2,,
25,lo,it,2,1,1,3,1
26,usted,you,4,1,1,3,1
27,o,or,4,6,,,
28,tenido,had,2,2,2,,
29,la,the,4,1,3,2,1
30,de,of,4,6,,,
31,a,to,4,6,,,
32,y,and,4,6,,,
33,un,a,4,1,3,1,1
34,en,in,4,6,,,
35,nos,we,4,1,1,3,2
36,lata,can,2,3,11,2,1
37,fuera,out,4,5,,,
38,otros,other,4,1,2,1,2
39,eran,were,4,2,2,,
40,que,which,2,6,,,
41,hacer,do,4,2,2,,
42,su,their,4,1,2,3,2
43,tiempo,time,4,3,10,1,1
44,si,if,4,6,,,
45,lo hará,will,4,2,2,,
46,cómo,how,4,6,,,
47,dicho,said,4,2,2,,
48,un,an,4,1,3,1,1
49,cada,each,4,4,4,,
50,decir,tell,2,2,2,,
51,hace,does,4,2,2,,
52,conjunto,set,2,3,11,1,1
53,tres,three,4,4,4,,
54,querer,want,4,2,2,,
55,aire,air,4,3,4,1,1
56,así,well,2,4,8,,
57,también,also,4,6,,
58,jugar,play,2,2,2,,
59,pequeño,small,4,4,2,,
60,fin,end,4,3,10,1,1
61,poner,put,4,2,2,,
62,casa,home,4,3,6,2,1
63,leer,read,4,2,2,,
64,mano,hand,4,3,2,1,1
65,puerto,port,4,3,3,1,1
66,grande,large,2,4,2,,
67,deletrear,spell,2,2,1,,
68,añadir,add,2,2,1,,
69,incluso,even,2,5,,,
70,tierra,land,4,3,3,2,1
71,aquí,here,4,4,5,,
72,debe,must,4,2,1,,
73,grande,big,4,4,2,,
74,alto,high,4,4,5,,
75,tal,such,2,4,4,,
76,siga,follow,2,2,2,,
77,acto,act,4,3,9,1,1
78,por qué,why,4,6,,,
79,preguntar,ask,4,2,1,,
80,hombres,men,4,1,1,1,2
81,cambio,change,2,3,11,1,1
82,se fue,went,2,2,2,,
83,luz,light,4,3,4,2,1
84,tipo,kind,4,3,11,1,1
85,fuera,off,4,5,,,
86,necesitará,need,4,2,1,,
87,casa,house,4,3,6,2,1
88,imagen,picture,4,3,5,2,1
89,tratar,try,2,2,1,,
90,nosotros,we,4,1,1,1,2
91,de nuevo,again,2,5,,,
92,animal,animal,4,3,4,1,1
93,punto,point,2,3,3,1,1
94,madre,mother,4,1,1,2,1
95,mundo,world,4,3,3,1,1
96,cerca,near,4,5,,,
97,construir,build,4,2,2,,
98,auto,self,4,1,1,3,1
99,tierra,earth,4,3,3,2,1
100,padre,father,4,1,1,1,1
101,cualquier,any,4,4,4,,
102,nuevo,new,4,4,7,,
103,trabajo,work,4,3,7,1,1
104,parte,part,4,3,11,2,1
105,tomar,take,4,2,1,,
